私用パソコンをそのまま仕事場に持ちこんで使っている。,×,セキュリティ管理のルールなく使うことは本人のパソコンばかりでなく、仕事場全体のネットワークセキュリティを危険にさらす恐れがあるので、避けた方がよいでしょう。,,検定対策ページを見る
フィッシング詐欺とは、ユーザから経済的価値のある情報(IDパスワードやクレジットカード情報、銀行の暗証番号等)を、わかりづらい巧妙な方法により、不正に入手する詐欺行為をさす。,〇,記述の通りです。悪意に満ちたサイトがあることを理解し、自身のID、パスワードなど価値ある情報を簡単に入力することは避けましょう。,,検定対策ページを見る
データ流出の主要な原因は、不正アクセスおよびウィルス感染によるが、内部関係者による場合もあるので、注意が必要である。,〇,データ流出の原因には、内部関係者の犯行もあげられます。大きな影響を与える為、内部犯行を助長しないよう、十分な管理が必要です。,,検定対策ページを見る
架空請求詐欺では、一見もっともらしい文面で身に覚えのない料金等を請求されることが多い。そこには、利用したURLや時間、アカウント名、メールアドレス、個人名、差出人企業名や住所なども具体的に記載さているため、だまされないように注意が必要である。,×,架空請求詐欺では、一見もっともらしい文面が用いられますが、利用したURLや時間、アカウント名、メールアドレス、個人名、差出人企業の住所など具体的情報は記載されていない場合がほとんどです。そこをチェックしましょう。,,検定対策ページを見る
ネットショッピング詐欺にあわないためにも、不自然なURLに気をつけることが重要である。,〇,記述の通りです。ネットショッピング詐欺にあわないためにも、サイトの信頼性、出品者の信頼性をきちんと確認して利用する必要があります。,,検定対策ページを見る
総務省では、情報セキュリティ初心者のための三原則として、「ソフトウェアの更新」「ウイルス対策ソフト(ウイルス対策サービス)の導入」「IDやパスワードの適切な管理」の3つを推奨している。,〇,総務省では、情報セキュリティ初心者のための三原則として、「ソフトウェアの更新」「ウイルス対策ソフト(ウイルス対策サービス)の導入」「IDやパスワードの適切な管理」の3つを推奨しています。,,検定対策ページを見る
ネット上にIDとパスワードの一覧が投稿されていたので、試しにログインしてみた。,×,これらのIDパスワードを利用した場合、不正アクセス行為に該当します。運営者に速やかに連絡するのが良いでしょう。,,検定対策ページを見る
ネットワークに接続していることが当たり前になってきたので、データが端末に保存されているか、端末以外の場所に保存されているか理解したうえで利用することが重要である。,〇,記述の通りです。どこに保存しているかという問題は、バックアップの問題や共有、セキュリティの問題などに繋がります。,,検定対策ページを見る
公衆回線は文字通り不特定多数のユーザによって共用しているため、盗聴などのリスクがあり、テキストデータを送信している場合は、注意が必要である。,〇,記述の通りです。,,検定対策ページを見る
アプリケーションは購入した時点で利用権を買い取った形になるので、一度購入すれば、使いまわしが可能である。,×,通常、使いまわしはできません。ライセンスの内容は常に確認しましょう。,,検定対策ページを見る
個人のパソコンやスマートフォンを会社のネットワークに接続することは、危険な行為である。,〇,繋いだ電子機器が、知らぬ間にウィルスなどに感染していた場合は、不正アクセスや情報漏洩の原因となります。,,検定対策ページを見る
2014年8月、電波環境協議会から発表された医療施設において携帯電話を使う際のルールの基本となる指針によると、待合室で携帯電話は使ってよいが、スマートフォンは使ってはならない。,×,指針では、スマートフォンの利用も可能となっています。,,検定対策ページを見る
優先席付近では、混雑時は携帯電話で通話をしなければ、電源を切らなくてもよい。,×,現在の携帯電話の使用ルールとして、「優先席付近では混雑時には携帯電話の電源を切る」とされています。,,検定対策ページを見る
"1,000件の「ヒヤリ」や「ハッと」した時があれば、確率的に1件の重大事故が起きると認識しなければならない。",×,確率的に、330件の「ヒヤリ」や「ハット」したときに、1件の重大事故が起きています。,,検定対策ページを見る
公衆浴場やプール等では、携帯電話やスマートフォンを持っていることは不信を招くのでしないほうがよい。,〇,記述の通りです。写真機能があるパソコン・タブレットなども同様ですので、注意が必要です。,,検定対策ページを見る
公共の場で、携帯電話、スマートフォンやタブレットを使っていると、使用の目的を誤解される場面がある。例えば、エスカーレータ乗降中やプールなどは気を付けなければならない。,〇,記述の通りです。この他にも公衆浴場の脱衣場や書店など使用の目的が誤解される場所がありますので、注意しましょう。,,検定対策ページを見る
インターネットに書きこまれている事柄で、連絡先や詳細な案内がない情報など責任の所在が明らかではない情報を鵜呑みにするべきではない。,〇,記述の通りです。責任の所在があいまいな情報は、書き手もいい加減な気持ちで書いている場合がありますのでその様な記述は気をつけて取り扱うべきです。,,検定対策ページを見る
人を無断で撮影しインターネットに投稿することは、場合によっては撮影した人から訴えられて民事事件に発展する可能性もあるため、注意が必要である。,〇,記述の通り、場合によっては民事事件として訴えられる可能性があります。十分注意しましょう。,,検定対策ページを見る
部下が仕事をしないので、彼の行動をSNSを通じて常にチェックし、行動にたびたびコメントして、常に監視していることをアピールした。,×,ソーシャルメディアハラスメントにあたる可能性があります。業務とプライベートが分かれていることを理解しなければなりません。,,検定対策ページを見る
「大地震が来る」ということを科学的に説明している学術団体のサイトがあったので、SNSでリンクをシェアした。,×,行為自体は問題ありませんが、その情報によって非常に不安を覚える人や、不快に思う人がいるかもしれません。また地震が来なかった場合の信用毀損が大きく、公にはあまりやるべきではないでしょう。,,検定対策ページを見る
インターネット上の電子掲示板に、匿名で他人を誹謗中傷する書き込みを行った場合、誰が書いたか分からないので、名誉毀損罪に該当しない。,×,インターネット上の電子掲示板への匿名での書き込みであっても、完全に匿名ではなく、誰による書込みか判明します。,,検定対策ページを見る
ブログ小説という形で、自分が所属する会社を実名は出さずに記述し、会社が行っている不正行為を書き綴った。,×,匿名だった場合でも、会社名や人物などが明らかになってしまうケースもありますし、名誉毀損・信用毀損で会社から訴えられてしまう場合もあります。不正行為が事実であれば別の手段で、是正を促すべきです。,,検定対策ページを見る
ネットで銀行が経営不安だという記事を見て、友人に預金を下ろすよう伝えた。,×,風説の流布による信用毀損・業務妨害(刑法233条)について、3年以下の懲役または50万円以下の罰金が設けられています。また、別途、民事的な責任も出てきます。,,検定対策ページを見る
3Dプリンターで性器の設計図をネットで配布することは問題にならない。,×,わいせつ電磁的記録頒布の疑いがあります。,,検定対策ページを見る
自分が不快に思った番組に抗議するため、ネットに番組の代表電話番号を書き込んで、皆に抗議するように協力を依頼した。,×,電凸(でんとつ)といわれる行為で、一時に大勢の抗議活動をよびかけることは、放送事業者の業務を妨害する恐れもあります。別途適切な方法で伝える必要があります。,,検定対策ページを見る
